id,year.prehurr,group,dpAcc,dpSocial,num_obs,sex,ordrank,percentrank,hrs.followed,study.end.date,group.size,DOB,DOD,DOT,Age_entry.days,Age_event.days,days.in.study,Survival,num.partners,top.partner,std.num.partners,iter
00V,2015,V,0.170731707,-0.146341463,82,F,M,76.316,4.666666667,3/1/20,264,12/14/03,NA,NA,5026,5922,896,0,8,2.949876498,2.042553191,1
00V,2016,V,0.339622642,0.056603774,106,F,H,83.33333333,6.166666667,3/1/20,264,12/14/03,NA,NA,5026,5922,896,0,11,1.920243235,2.983050847,1
00V,2017,V,0.454545455,0.018181818,55,F,H,81.25,3.166666667,3/1/20,264,12/14/03,NA,NA,5026,5922,896,0,4,1.967335006,1.93814433,1
04T,2016,V,0.29787234,0.106382979,94,M,L,28.88888889,6,3/1/20,264,11/4/02,NA,NA,5431,6327,896,0,0,0,0,1
04T,2017,V,0.246153846,0.092307692,65,M,L,36.36363636,4,3/1/20,264,11/4/02,NA,NA,5431,6327,896,0,0,0,0,1
0C7,2017,V,0.222222222,0,27,M,L,23.63636364,1.5,3/1/20,264,10/25/05,NA,NA,4345,5241,896,0,0,0,0,1
0G1,2015,V,0.116666667,0.016666667,60,M,L,36.36363636,3.833333333,3/1/20,264,11/17/07,NA,NA,3592,4488,896,0,1,1.182599197,0.255319149,1
0G1,2016,V,0.072916667,0.010416667,96,M,M,66.66666667,6.166666667,3/1/20,264,11/17/07,NA,NA,3592,4488,896,0,1,0.138056703,0.271186441,1
0G1,2017,V,0.02,0,50,M,M,63.63636364,3.666666667,3/1/20,264,11/17/07,NA,NA,3592,4488,896,0,1,0.176792905,0.484536082,1
0J4,2016,V,0.181818182,0.01010101,99,M,L,42.22222222,6.166666667,3/1/20,264,9/16/09,NA,NA,2923,3819,896,0,6,1.822976012,1.627118644,1
0J4,2017,V,0.116666667,-0.05,60,M,L,43.63636364,3.666666667,3/1/20,264,9/16/09,NA,NA,2923,3819,896,0,5,1.957056349,2.422680412,1
0J5,2017,KK,0.456521739,0.086956522,46,F,L,14.583,1.916666667,11/1/18,230,10/17/09,NA,NA,2892,3302,410,0,4,0.901311411,1.070422535,1
0K0,2016,V,0.047619048,0,21,F,M,71.42857143,6,3/1/20,264,10/14/09,3/19/18,NA,2895,3078,183,1,6,1.644387718,1.627118644,1
0K8,2017,KK,0.363636364,-0.045454545,44,F,M,72.917,1.833333333,11/1/18,230,11/21/09,NA,NA,2857,3267,410,0,5,2.830506795,1.338028169,1
0M1,2017,V,0.482758621,0.103448276,58,M,H,92.72727273,3.5,3/1/20,264,9/20/10,NA,NA,2554,3450,896,0,1,0.563748497,0.484536082,1
0M3,2017,V,0.425925926,0,54,F,H,93.75,3.666666667,3/1/20,264,10/25/10,8/27/18,NA,2519,2863,344,1,1,1.360894226,0.484536082,1
0M4,2017,V,0.275862069,0.120689655,58,F,H,95.83333333,3.666666667,3/1/20,264,10/10/10,NA,NA,2534,3430,896,0,5,2.195521198,2.422680412,1
0M6,2017,KK,0.5,-0.045454545,22,F,M,77.083,0.916666667,11/1/18,230,8/9/11,NA,NA,2231,2641,410,0,2,1.262124792,0.535211268,1
12O,2015,V,0.160493827,-0.024691358,81,M,H,84.09090909,4.5,3/1/20,264,11/11/99,NA,NA,6520,7416,896,0,7,1.315956128,1.787234043,1
12O,2016,V,0.284313725,0.019607843,102,M,H,84.44444444,6.166666667,3/1/20,264,11/11/99,NA,NA,6520,7416,896,0,3,1.920243235,0.813559322,1
12O,2017,V,0.166666667,-0.018518519,54,M,H,81.81818182,3.5,3/1/20,264,11/11/99,NA,NA,6520,7416,896,0,4,1.967335006,1.93814433,1
14E,2015,V,0.296296296,0.024691358,81,F,H,100,4.666666667,3/1/20,264,12/13/94,1/25/19,NA,8314,8809,495,1,5,1.404394792,1.276595745,1
14E,2016,V,0.475247525,0.03960396,101,F,H,100,6,3/1/20,264,12/13/94,1/25/19,NA,8314,8809,495,1,6,0.778137782,1.627118644,1
14E,2017,V,0.293103448,-0.034482759,58,F,H,100,3.333333333,3/1/20,264,12/13/94,1/25/19,NA,8314,8809,495,1,2,1.73151324,0.969072165,1
16R,2015,KK,0.387755102,0.081632653,49,M,H,80,5.5,11/1/18,230,12/8/01,4/16/18,NA,5762,5973,211,1,6,3.032206841,1.13304721,1
16R,2017,KK,0.318181818,0.045454545,22,M,H,91.66666667,1.833333333,11/1/18,230,12/8/01,4/16/18,NA,5762,5973,211,1,3,1.096271414,0.802816901,1
19T,2015,V,0.178082192,0,73,M,L,40.90909091,4.333333333,3/1/20,264,11/4/02,NA,NA,5431,6327,896,0,1,0.162810903,0.255319149,1
19T,2016,V,0.12,-0.03,100,M,L,48.88888889,6.166666667,3/1/20,264,11/4/02,NA,NA,5431,6327,896,0,3,1.928435994,0.813559322,1
19T,2017,V,0.057692308,0,52,M,M,67.27272727,3.5,3/1/20,264,11/4/02,NA,NA,5431,6327,896,0,1,0.946592625,0.484536082,1
1B0,2015,V,0.3125,-0.0125,80,F,L,21.053,4.666666667,3/1/20,264,11/16/04,NA,NA,4688,5584,896,0,6,2.857482103,1.531914894,1
1B0,2016,V,0.39,0,100,F,L,21.42857143,6.166666667,3/1/20,264,11/16/04,NA,NA,4688,5584,896,0,6,3.517308279,1.627118644,1
1B0,2017,V,0.406779661,0,59,F,L,22.91666667,3.666666667,3/1/20,264,11/16/04,NA,NA,4688,5584,896,0,3,2.375877371,1.453608247,1
