AnimalID	DOB	Death	Removal.Date	Sex	Maternal.ID	Matriline	DamGen	SireGen	Natal.Group	Status	Birth.Season	Idcode
42	1/1/38	NA	1/1/59	FEMALE	NA	NA	NA	NA	U	REMOVE	1938	NA
E1T	1/1/43	NA	1/1/59	MALE	NA	E1T	NA	NA	U	REMOVE	1943	NA
190	1/1/38	NA	4/1/59	FEMALE	NA	NA	NA	NA	U	REMOVE	1938	NA
BG	3/1/59	NA	5/21/59	FEMALE	22	NA	NA	NA	U	REMOVE	1959	NA
22	1/1/38	NA	5/21/59	FEMALE	NA	22	NA	NA	U	REMOVE	1938	NA
KG	7/1/59	NA	2/19/60	FEMALE	065	065	NA	NA	U	REMOVE	1959	NA
I60093	4/18/60	NA	5/30/60	FEMALE	093	093	NA	NA	A	REMOVE	1960	NA
093	1/1/51	NA	5/30/60	FEMALE	NA	093	NA	NA	U	REMOVE	1944	NA
I60003	2/22/60	NA	7/24/61	MALE	003	003	NA	NA	C	REMOVE	1960	NA
C	3/12/60	NA	7/24/61	MALE	46	46	NA	NA	C	REMOVE	1960	NA
N	5/19/60	NA	7/24/61	MALE	075	075	NA	NA	C	REMOVE	1960	NA
I60AC	3/31/60	NA	7/24/61	MALE	AC	AC	NA	NA	F	REMOVE	1960	NA
I60AW	3/9/60	NA	7/24/61	MALE	AW	AW	NA	NA	C	REMOVE	1960	NA
D	4/20/60	NA	7/24/61	MALE	DA	DA	NA	NA	C	REMOVE	1960	NA
V	4/17/60	NA	7/31/61	MALE	114	114	NA	NA	E	REMOVE	1960	NA
HV	5/26/60	NA	7/31/61	MALE	129	129	NA	NA	E	REMOVE	1960	NA
ID	2/17/60	NA	8/3/61	MALE	117	117	NA	NA	C	REMOVE	1960	NA
025	1/1/55	NA	8/14/61	MALE	NA	025	NA	NA	U	REMOVE	1955	NA
043	1/1/55	NA	8/15/61	MALE	NA	043	NA	NA	U	REMOVE	1955	NA
HG	2/20/60	NA	9/12/61	MALE	040	040	NA	NA	A	REMOVE	1960	NA
H	5/16/60	NA	9/12/61	MALE	046	046	NA	NA	G	REMOVE	1960	NA
IM	3/4/60	NA	9/12/61	MALE	097	097	NA	NA	G	REMOVE	1960	NA
HN	1/25/60	NA	9/13/61	FEMALE	037	037	NA	NA	A	REMOVE	1960	NA
O	4/2/60	NA	9/13/61	MALE	057	057	NA	NA	G	REMOVE	1960	NA
HK	3/9/60	NA	9/13/61	FEMALE	076	076	NA	NA	F	REMOVE	1960	NA
IQ	4/23/60	NA	9/13/61	FEMALE	128	128	NA	NA	E	REMOVE	1960	NA
IH	6/2/60	NA	9/13/61	MALE	BU	BU	NA	NA	C	REMOVE	1960	NA
IB	3/1/60	NA	9/13/61	MALE	DM	DM	NA	NA	G	REMOVE	1960	NA
HW	3/10/60	NA	9/13/61	FEMALE	RB	RB	NA	NA	A	REMOVE	1960	NA
IY	3/8/60	NA	11/29/61	FEMALE	035	035	NA	NA	C	REMOVE	1960	NA
I61058	3/18/61	NA	12/4/61	FEMALE	058	058	NA	NA	C	REMOVE	1961	NA
058	1/1/54	NA	12/4/61	FEMALE	NA	058	NA	NA	U	REMOVE	1953	NA
059	1/1/55	NA	12/8/61	FEMALE	NA	059	NA	NA	U	REMOVE	1955	NA
108	1/1/56	NA	12/8/61	MALE	NA	108	NA	NA	U	REMOVE	1956	NA
JL	5/23/61	NA	12/14/61	MALE	099	099	NA	NA	C	REMOVE	1961	NA
099	1/1/56	NA	12/15/61	FEMALE	NA	099	NA	NA	U	REMOVE	1956	NA
CW	1/1/57	NA	12/20/61	MALE	NA	CW	NA	NA	U	REMOVE	1957	NA
I61010	3/26/61	NA	4/23/62	MALE	010	010	NA	NA	C	REMOVE	1961	NA
LK	4/8/61	NA	4/23/62	MALE	AE	AE	NA	NA	C	REMOVE	1961	NA
I61024	3/17/61	NA	4/24/62	MALE	024	024	NA	NA	E	REMOVE	1961	NA
I61097	3/22/61	NA	4/24/62	MALE	097	097	NA	NA	H	REMOVE	1961	NA
I61118	3/24/61	NA	4/24/62	MALE	118	118	NA	NA	E	REMOVE	1961	NA
I61131	3/17/61	NA	4/24/62	MALE	131	131	NA	NA	E	REMOVE	1961	NA
IT	3/14/61	NA	4/24/62	MALE	S012	128	NA	NA	E	REMOVE	1961	NA
IZ	4/20/61	NA	4/25/62	MALE	074	074	NA	NA	C	REMOVE	1961	NA
JU	12/29/60	NA	4/25/62	MALE	116	116	NA	NA	I	REMOVE	1961	NA
LJ	2/27/61	NA	4/25/62	MALE	R005	060	NA	NA	C	REMOVE	1961	NA
I61S013	3/24/61	NA	4/25/62	MALE	S013	129	NA	NA	E	REMOVE	1961	NA
072	1/1/53	NA	7/2/62	MALE	NA	072	NA	NA	U	REMOVE	1952	NA
BS	1/1/58	NA	11/27/62	MALE	037	037	NA	NA	U	REMOVE	1958	NA
BK	3/25/58	NA	11/28/62	MALE	020	020	NA	NA	U	REMOVE	1958	NA
BR	1/1/57	NA	11/28/62	MALE	069	069	NA	NA	U	REMOVE	1957	NA
EN	4/3/58	NA	11/29/62	MALE	062	062	NA	NA	U	REMOVE	1958	NA
CT	1/1/57	NA	11/30/62	MALE	NA	CT	NA	NA	U	REMOVE	1957	NA
MA	3/14/63	NA	4/3/63	FEMALE	131	131	NA	NA	E	REMOVE	1963	NA
UN	3/18/63	NA	4/4/63	MALE	KR	AT	NA	NA	C	REMOVE	1963	NA
NW	3/29/62	NA	10/7/63	MALE	022	022	NA	NA	F	REMOVE	1962	NA
NS	2/20/62	NA	10/7/63	MALE	075	075	NA	NA	C	REMOVE	1962	NA
TM	4/3/62	NA	10/7/63	MALE	DA	DA	NA	NA	C	REMOVE	1962	NA
XE	4/20/62	NA	10/10/63	MALE	090	090	NA	NA	A	REMOVE	1962	NA
UK	4/25/62	NA	10/10/63	MALE	105	105	NA	NA	C	REMOVE	1962	NA
CZ	1/1/58	NA	10/29/63	MALE	076	076	NA	NA	U	REMOVE	1958	NA
KC	1/1/57	NA	10/30/63	MALE	DA	DA	NA	NA	U	REMOVE	1957	NA
AV	1/1/58	NA	10/31/63	MALE	122	122	NA	NA	U	REMOVE	1958	NA
CA	3/1/58	NA	11/1/63	MALE	038	038	NA	NA	U	REMOVE	1958	NA
BD	1/1/57	NA	11/1/63	MALE	NA	BD	NA	NA	U	REMOVE	1957	NA
KB	1/1/57	NA	11/14/63	MALE	076	076	NA	NA	U	REMOVE	1957	NA
I63022	5/3/63	NA	11/18/63	MALE	022	022	NA	NA	F	REMOVE	1963	NA
XI	2/2/63	NA	11/18/63	MALE	AS	090	NA	NA	A	REMOVE	1963	NA
I63055	1/23/63	NA	11/19/63	MALE	055	055	NA	NA	C	REMOVE	1963	NA
TG	4/19/62	NA	11/19/63	MALE	EK	073	NA	NA	F	REMOVE	1962	NA
I63EW	2/24/63	NA	11/19/63	MALE	EW	EW	NA	NA	C	REMOVE	1963	NA
I63BP	3/8/63	NA	11/25/63	MALE	BP	093	NA	NA	A	REMOVE	1963	NA
I63DZ	3/13/63	NA	11/25/63	MALE	DZ	RB	NA	NA	A	REMOVE	1963	NA
I63R003	2/10/63	NA	11/25/63	MALE	R003	22	NA	NA	A	REMOVE	1963	NA
I63DR	2/21/63	NA	11/26/63	MALE	DR	007	NA	NA	A	REMOVE	1963	NA
I63CM	3/15/63	NA	11/27/63	MALE	CM	049	NA	NA	H	REMOVE	1963	NA
I64R011	1/15/64	NA	3/13/64	MALE	R011	083	NA	NA	C	REMOVE	1964	NA
LO	3/7/61	NA	6/29/64	FEMALE	AW	AW	NA	NA	C	REMOVE	1961	NA
HY	2/21/61	NA	7/1/64	FEMALE	S016	012	NA	NA	A	REMOVE	1961	NA
LC	2/15/61	NA	7/10/64	FEMALE	064	064	NA	NA	A	REMOVE	1961	NA
JC	2/27/61	NA	7/27/64	MALE	R003	22	NA	NA	A	REMOVE	1961	NA
'NA	1/30/61	NA	7/29/64	MALE	007	007	NA	NA	A	REMOVE	1961	NA
LY	7/3/61	NA	7/29/64	MALE	062	062	NA	NA	A	REMOVE	1961	NA
WU	4/24/64	NA	1/1/65	MALE	092	092	NA	NA	A	REMOVE	1964	NA
I65R003	3/15/65	NA	3/18/65	MALE	R003	22	NA	NA	A	REMOVE	1965	NA
I65131	3/29/65	NA	3/29/65	FEMALE	131	131	NA	NA	E	REMOVE	1965	NA
A	3/18/60	NA	4/26/65	FEMALE	R002	190	NA	NA	C	REMOVE	1960	NA
UX	3/15/62	NA	11/1/65	MALE	109	109	NA	NA	A	REMOVE	1962	NA
KA	3/17/59	NA	11/9/65	FEMALE	109	109	NA	NA	U	REMOVE	1959	NA
HB	2/29/60	NA	11/9/65	FEMALE	109	109	NA	NA	A	REMOVE	1960	NA
LB	3/4/61	NA	11/9/65	FEMALE	109	109	NA	NA	A	REMOVE	1961	NA
XG	2/18/63	NA	11/9/65	FEMALE	109	109	NA	NA	A	REMOVE	1963	NA
WR	2/10/64	NA	11/9/65	FEMALE	HB	109	NA	NA	A	REMOVE	1964	NA
I65HB	2/21/65	NA	11/9/65	MALE	HB	109	NA	NA	A	REMOVE	1965	NA
I65LB	3/8/65	NA	11/9/65	FEMALE	LB	109	NA	NA	A	REMOVE	1965	NA
109	1/1/53	NA	11/10/65	FEMALE	NA	109	NA	NA	U	REMOVE	1952	NA
GT	2/4/64	NA	11/15/65	FEMALE	109	109	NA	NA	A	REMOVE	1964	NA
XU	2/10/63	NA	11/15/65	FEMALE	KA	109	NA	NA	A	REMOVE	1963	NA
I66BJ	3/3/66	NA	6/13/66	MALE	BJ	AT	NA	NA	C	REMOVE	1966	NA
I66DA	3/21/66	NA	6/13/66	FEMALE	DA	DA	NA	NA	C	REMOVE	1966	NA
I66LN	3/15/66	NA	6/13/66	MALE	LN	074	NA	NA	C	REMOVE	1966	NA
I66S	3/14/66	NA	6/13/66	FEMALE	S	058	NA	NA	A	REMOVE	1966	NA
I66S013	3/5/66	NA	6/13/66	MALE	S013	129	NA	NA	E	REMOVE	1966	NA
I66TI	3/4/66	NA	6/13/66	FEMALE	TI	129	NA	NA	E	REMOVE	1966	NA
I66TY	3/19/66	NA	6/13/66	MALE	TY	CD	NA	NA	C	REMOVE	1966	NA
I66UR	2/28/66	NA	6/13/66	FEMALE	UR	102	NA	NA	E	REMOVE	1966	NA
I66YY	3/15/66	NA	6/13/66	FEMALE	YY	CD	NA	NA	C	REMOVE	1966	NA
I66AW	3/10/66	NA	6/17/66	MALE	AW	AW	NA	NA	C	REMOVE	1966	NA
JZ	3/15/61	NA	6/25/66	MALE	037	037	NA	NA	A	REMOVE	1961	NA
R004	1/1/56	NA	6/25/66	FEMALE	046	046	NA	NA	U	REMOVE	1956	NA
S011	4/23/57	NA	6/25/66	MALE	46	46	NA	NA	U	REMOVE	1957	NA
CM	4/15/59	NA	6/25/66	FEMALE	049	049	NA	NA	U	REMOVE	1959	NA
TE	7/21/62	NA	6/25/66	FEMALE	049	049	NA	NA	H	REMOVE	1962	NA
FZ	5/20/64	NA	6/25/66	MALE	049	049	NA	NA	H	REMOVE	1964	NA
CQ	1/1/58	NA	6/25/66	FEMALE	057	057	NA	NA	U	REMOVE	1958	NA
HE	2/12/59	NA	6/25/66	FEMALE	057	057	NA	NA	U	REMOVE	1959	NA
ZN	2/6/64	NA	6/25/66	MALE	057	057	NA	NA	H	REMOVE	1964	NA
I66057	3/1/66	NA	6/25/66	FEMALE	057	057	NA	NA	H	REMOVE	1966	NA
AM	3/21/58	NA	6/25/66	FEMALE	080	080	NA	NA	U	REMOVE	1958	NA
HL	3/22/60	NA	6/25/66	FEMALE	080	080	NA	NA	G	REMOVE	1960	NA
LS	4/13/61	NA	6/25/66	FEMALE	080	080	NA	NA	H	REMOVE	1961	NA
XS	3/14/63	NA	6/25/66	FEMALE	080	080	NA	NA	H	REMOVE	1963	NA
WN	3/26/64	NA	6/25/66	FEMALE	080	080	NA	NA	H	REMOVE	1964	NA
I66080	2/16/66	NA	6/25/66	FEMALE	080	080	NA	NA	H	REMOVE	1966	NA
CE	3/3/59	NA	6/25/66	MALE	117	117	NA	NA	U	REMOVE	1959	NA
R002	1/1/55	NA	6/25/66	FEMALE	190	190	NA	NA	U	REMOVE	1955	NA
FE	2/1/64	NA	6/25/66	FEMALE	AH	049	NA	NA	H	REMOVE	1964	NA
UC	3/17/63	NA	6/25/66	FEMALE	AM	080	NA	NA	H	REMOVE	1963	NA
WS	2/6/64	NA	6/25/66	MALE	AM	080	NA	NA	H	REMOVE	1964	NA
I66AM	2/18/66	NA	6/25/66	FEMALE	AM	080	NA	NA	H	REMOVE	1966	NA
132	1/1/57	NA	6/25/66	MALE	CD	CD	NA	NA	U	REMOVE	1957	NA
WM	4/4/64	NA	6/25/66	FEMALE	CM	049	NA	NA	H	REMOVE	1964	NA
D1	4/22/65	NA	6/25/66	MALE	CM	049	NA	NA	H	REMOVE	1965	NA
I66CM	4/3/66	NA	6/25/66	MALE	CM	049	NA	NA	H	REMOVE	1966	NA
TT	4/1/62	NA	6/25/66	FEMALE	CQ	057	NA	NA	H	REMOVE	1962	NA
ZZ	2/21/64	NA	6/25/66	MALE	CQ	057	NA	NA	H	REMOVE	1964	NA
D5	4/3/65	NA	6/25/66	FEMALE	CQ	057	NA	NA	H	REMOVE	1965	NA
I66CQ	4/6/66	NA	6/25/66	FEMALE	CQ	057	NA	NA	H	REMOVE	1966	NA
IP	6/2/60	NA	6/25/66	FEMALE	CU	CU	NA	NA	G	REMOVE	1960	NA
ZS	4/3/64	NA	6/25/66	MALE	CU	CU	NA	NA	H	REMOVE	1964	NA
I66CU	3/12/66	NA	6/25/66	FEMALE	CU	CU	NA	NA	H	REMOVE	1966	NA
ZV	5/24/63	NA	6/25/66	FEMALE	HE	057	NA	NA	H	REMOVE	1963	NA
I66HE	4/14/66	NA	6/25/66	MALE	HE	057	NA	NA	H	REMOVE	1966	NA
WA	3/26/64	NA	6/25/66	MALE	HL	080	NA	NA	H	REMOVE	1964	NA
C8	4/14/65	NA	6/25/66	MALE	HL	080	NA	NA	H	REMOVE	1965	NA
I66HL	3/18/66	NA	6/25/66	FEMALE	HL	080	NA	NA	H	REMOVE	1966	NA
I65IP	3/4/65	NA	6/25/66	FEMALE	IP	CU	NA	NA	H	REMOVE	1965	NA
I66IP	4/22/66	NA	6/25/66	FEMALE	IP	CU	NA	NA	H	REMOVE	1966	NA
I66NX	4/13/66	NA	6/25/66	FEMALE	NX	046	NA	NA	H	REMOVE	1966	NA
I66R002	2/25/66	NA	6/25/66	MALE	R002	190	NA	NA	H	REMOVE	1966	NA
NX	2/13/62	NA	6/25/66	FEMALE	R004	046	NA	NA	H	REMOVE	1962	NA
YE	2/17/63	NA	6/25/66	FEMALE	R004	046	NA	NA	H	REMOVE	1963	NA
FK	1/31/64	NA	6/25/66	MALE	R004	046	NA	NA	H	REMOVE	1964	NA
C2	3/19/65	NA	6/25/66	MALE	R004	046	NA	NA	H	REMOVE	1965	NA
I66R004	3/19/66	NA	6/25/66	FEMALE	R004	046	NA	NA	H	REMOVE	1966	NA
NV	4/18/62	NA	6/25/66	MALE	S017	084	NA	NA	H	REMOVE	1962	NA
ZF	3/4/64	NA	6/25/66	FEMALE	S017	084	NA	NA	H	REMOVE	1964	NA
C1	3/4/65	NA	6/25/66	FEMALE	S017	084	NA	NA	H	REMOVE	1965	NA
I66TT	3/25/66	NA	6/25/66	FEMALE	TT	057	NA	NA	H	REMOVE	1966	NA
CU	1/1/54	NA	6/25/66	FEMALE	NA	CU	NA	NA	U	REMOVE	1944	NA
080	1/1/54	NA	6/25/66	FEMALE	NA	080	NA	NA	U	REMOVE	1953	NA
057	1/1/55	NA	6/25/66	FEMALE	NA	057	NA	NA	U	REMOVE	1955	NA
I9	3/7/65	NA	6/26/66	FEMALE	057	057	NA	NA	H	REMOVE	1965	NA
HM	3/20/60	NA	6/27/66	MALE	031	031	NA	NA	A	REMOVE	1960	NA
I65109	2/9/65	NA	7/26/66	FEMALE	109	109	NA	NA	A	REMOVE	1965	NA
I66105	2/25/66	NA	12/9/66	FEMALE	105	105	NA	NA	C	REMOVE	1966	NA
I66BX	3/24/66	NA	12/9/66	MALE	BX	EW	NA	NA	C	REMOVE	1966	NA
I66R005	2/23/66	NA	12/9/66	FEMALE	R005	060	NA	NA	C	REMOVE	1966	NA
I66L	1/27/66	NA	12/12/66	MALE	L	105	NA	NA	C	REMOVE	1966	NA
I66ND	3/16/66	NA	12/12/66	MALE	ND	059	NA	NA	C	REMOVE	1966	NA
I66NF	4/13/66	NA	12/12/66	MALE	NF	DA	NA	NA	C	REMOVE	1966	NA
RB	1/1/54	NA	3/20/67	FEMALE	NA	RB	NA	NA	U	REMOVE	1944	NA
041	1/1/56	NA	3/20/67	FEMALE	NA	041	NA	NA	U	REMOVE	1956	NA
112	1/1/56	NA	3/20/67	FEMALE	NA	112	NA	NA	U	REMOVE	1956	NA
A1	2/4/65	NA	3/27/67	MALE	HJ	041	NA	NA	A	REMOVE	1965	NA
I66NI	3/21/66	NA	4/1/67	FEMALE	NI	112	NA	NA	C	REMOVE	1966	NA
I66RB	3/25/66	NA	4/1/67	FEMALE	RB	RB	NA	NA	A	REMOVE	1966	NA
L4	2/2/66	NA	4/12/67	MALE	015	015	NA	NA	A	REMOVE	1966	NA
M5	1/25/66	NA	4/12/67	MALE	020	020	NA	NA	A	REMOVE	1966	NA
A2	2/26/65	NA	4/12/67	FEMALE	041	041	NA	NA	A	REMOVE	1965	NA
L9	2/18/66	NA	4/12/67	MALE	041	041	NA	NA	A	REMOVE	1966	NA
H3	3/14/65	NA	4/12/67	FEMALE	CD	CD	NA	NA	C	REMOVE	1965	NA
P1	2/19/66	NA	4/12/67	FEMALE	DZ	RB	NA	NA	A	REMOVE	1966	NA
I66KR	2/16/66	NA	4/12/67	MALE	KR	AT	NA	NA	C	REMOVE	1966	NA
I66LR	3/12/66	NA	4/12/67	MALE	LR	A48	NA	NA	C	REMOVE	1966	NA
I5	3/7/65	NA	4/12/67	MALE	NM	055	NA	NA	C	REMOVE	1965	NA
S4	4/15/66	NA	4/12/67	MALE	UB	AW	NA	NA	C	REMOVE	1966	NA
I66ZA	4/7/66	NA	4/12/67	FEMALE	ZA	130	NA	NA	A	REMOVE	1966	NA
ZU	2/7/64	NA	12/6/67	FEMALE	AU	035	NA	NA	C	REMOVE	1964	NA
OL	2/25/64	NA	12/6/67	MALE	DJ	CJ	NA	NA	C	REMOVE	1964	NA
I67ZU	4/26/67	NA	12/6/67	FEMALE	ZU	035	NA	NA	C	REMOVE	1967	NA
AU	1/1/58	NA	12/7/67	FEMALE	035	035	NA	NA	U	REMOVE	1958	NA
TZ	4/3/62	NA	12/7/67	FEMALE	038	038	NA	NA	C	REMOVE	1962	NA
DJ	6/15/59	NA	12/7/67	FEMALE	CJ	CJ	NA	NA	U	REMOVE	1959	NA
US	4/14/62	NA	12/7/67	FEMALE	KW	PF	NA	NA	C	REMOVE	1962	NA
UM	5/23/62	NA	12/11/67	FEMALE	010	010	NA	NA	C	REMOVE	1962	NA
UL	3/27/62	NA	12/11/67	FEMALE	029	029	NA	NA	C	REMOVE	1962	NA
JK	1/25/61	NA	12/11/67	FEMALE	CD	CD	NA	NA	C	REMOVE	1961	NA
GB	2/21/64	NA	12/11/67	FEMALE	CD	CD	NA	NA	C	REMOVE	1964	NA
FY	2/27/64	NA	12/11/67	FEMALE	LN	074	NA	NA	C	REMOVE	1964	NA
KW	1/1/58	NA	12/11/67	FEMALE	PF	PF	NA	NA	U	REMOVE	1958	NA
YR	6/4/63	NA	2/5/68	FEMALE	105	105	NA	NA	C	REMOVE	1963	NA
GV	5/2/64	NA	2/5/68	FEMALE	105	105	NA	NA	C	REMOVE	1964	NA
3A	3/9/67	NA	2/5/68	MALE	YR	105	NA	NA	C	REMOVE	1967	NA
LL	5/29/61	NA	2/6/68	FEMALE	105	105	NA	NA	C	REMOVE	1961	NA
Y5	2/15/67	NA	3/10/68	FEMALE	NK	117	NA	NA	C	REMOVE	1967	NA
L	5/11/60	NA	3/26/68	FEMALE	105	105	NA	NA	C	REMOVE	1960	NA
I68L	2/16/68	NA	3/26/68	MALE	L	105	NA	NA	C	REMOVE	1968	NA
YH	2/22/63	NA	4/1/68	MALE	118	118	NA	NA	E	REMOVE	1963	NA
3K	3/6/67	NA	7/8/68	FEMALE	DR	007	NA	NA	A	REMOVE	1967	NA
YV	2/28/63	NA	12/2/68	MALE	007	007	NA	NA	A	REMOVE	1963	NA
OB	3/26/64	NA	12/2/68	MALE	020	020	NA	NA	A	REMOVE	1964	NA
T8	2/21/66	NA	12/2/68	FEMALE	038	038	NA	NA	C	REMOVE	1966	NA
5T	3/3/67	NA	12/2/68	MALE	075	075	NA	NA	C	REMOVE	1967	NA
F1	1/15/65	NA	12/2/68	MALE	090	090	NA	NA	A	REMOVE	1965	NA
1Q	3/2/67	NA	12/2/68	FEMALE	105	105	NA	NA	C	REMOVE	1967	NA
XB	1/22/63	NA	12/2/68	FEMALE	117	117	NA	NA	C	REMOVE	1963	NA
WH	4/1/64	NA	12/2/68	MALE	118	118	NA	NA	E	REMOVE	1964	NA
