AnimalID,Sex,Group,DOB,Age,Rank,Social,Survival,Time,Age_entry.days.,Age_event.days.,Group_size,Social_integration,Social_ord,Rank_ord
17K,1,F,11/20/1998,18,31,0,1,365,6881,7246,114,-1.626975377,1,3
2I0,1,F,9/29/2009,7,28,0,1,365,2913,3278,114,-1.626975377,1,3
84J,1,F,01/04/1999,18,32,1,2,13,6834,6847,114,-1.176615609,1,3
9F5,1,F,9/19/2007,10,20,1,1,365,3654,4019,114,-1.176615609,1,3
9H2,1,F,9/24/2008,8,22,0,1,365,3283,3648,114,-1.626975377,1,3
9I0,1,F,12/08/2009,7,16,1,1,365,2843,3208,114,-1.176615609,1,2
19T,1,F,11/04/2002,14,NA,1,1,365,5434,5799,114,-1.176615609,1,
1C2,1,F,10/25/2005,11,NA,1,1,365,4348,4713,114,-1.176615609,1,
7 E1,1,F,10/02/2007,9,NA,1,1,365,3641,4006,114,-1.176615609,1,
82A,2,F,1/29/1993,24,7,1,2,29,9000,9029,114,-1.176615609,1,1
1K5,2,F,10/24/2009,7,72,1,1,365,2888,3253,114,-1.176615609,1,3
7B7,2,F,11/20/2005,11,48,1,1,365,4322,4687,114,-1.176615609,1,3
0C6,2,F,12/20/2005,11,NA,1,1,365,4292,4657,114,-1.176615609,1,
1 E0,2,F,11/06/2006,10,NA,1,1,365,3971,4336,114,-1.176615609,1,
34Z,2,F,2/27/2004,13,NA,1,1,365,4954,5319,114,-1.176615609,1,
8H1,2,F,09/30/2008,8,NA,1,1,365,3277,3642,114,-1.176615609,1,
8J0,2,F,9/23/2009,7,NA,1,1,365,2919,3284,114,-1.176615609,1,
90P,2,F,11/12/2001,15,NA,1,1,365,5791,6156,114,-1.176615609,1,
2M4,1,KK,10/04/2011,5,16,0,1,365,2178,2543,106,-1.440810817,1,3
3M3,1,KK,9/26/2011,5,17,1,1,365,2186,2551,106,-1.078053483,1,3
5J3,1,KK,10/16/2009,7,21,1,1,365,2896,3261,106,-1.078053483,1,3
5K0,1,KK,10/26/2010,6,22,1,1,365,2521,2886,106,-1.078053483,1,3
6L3,1,KK,9/27/2010,6,18,0,1,365,2550,2915,106,-1.440810817,1,3
6L4,1,KK,9/17/2010,7,19,1,1,365,2560,2925,106,-1.078053483,1,3
64S,1,KK,10/26/2002,14,11,1,2,55,5443,5498,106,-1.078053483,1,2
97Z,1,KK,11/01/2004,12,10,1,2,125,4706,4831,106,-1.078053483,1,2
0G1,1,KK,11/17/2007,9,NA,1,1,365,3595,3960,106,-1.078053483,1,
0L5,1,KK,10/13/2010,6,NA,1,1,365,2534,2899,106,-1.078053483,1,
5M5,2,KK,09/01/2011,6,45,0,1,365,2211,2576,106,-1.440810817,1,3
9L9,2,KK,10/27/2010,6,46,1,1,365,2520,2885,106,-1.078053483,1,3
3F7,2,KK,10/01/2007,9,19,1,1,365,3642,4007,106,-1.078053483,1,2
6K6,2,KK,09/06/2010,7,17,1,1,365,2571,2936,106,-1.078053483,1,2
18I,1,V,2/13/1998,19,8,0,2,125,7159,7284,111,-1.493572324,1,1
0C7,1,V,10/25/2005,11,42,0,1,365,4348,4713,111,-1.493572324,1,3
1D5,1,V,10/03/2006,10,54,0,2,106,4005,4111,111,-1.493572324,1,3
2D0,1,V,10/23/2006,10,32,0,1,365,3985,4350,111,-1.493572324,1,3
2F8,1,V,9/28/2007,9,40,1,2,215,3645,3860,114,-1.176615609,1,3
5J1,1,V,9/24/2009,7,39,0,2,339,2918,3257,111,-1.493572324,1,3
5K8,1,V,10/25/2010,6,34,0,1,365,2522,2887,111,-1.493572324,1,3
60E,1,V,02/09/1996,21,47,0,2,48,7894,7942,111,-1.493572324,1,3
73S,1,V,11/23/2002,14,51,0,1,365,5415,5780,111,-1.493572324,1,3
9 E3,1,V,11/27/2007,9,46,0,1,365,3585,3950,111,-1.493572324,1,3
7L8,1,V,11/02/2010,6,21,0,1,365,2514,2879,111,-1.493572324,1,2
5C6,2,V,11/21/2005,11,6,0,2,223,4321,4544,111,-1.493572324,1,1
