AnimalID,DOB,Sex,BirthGroup,BehaviorMom,Last Event,LastGroup,EventDate,Status,DamGen,SireGen,BirthSeason,DOD,DateTransfer
I0748B,10/25/2006,u,F,678,,S,,Aborted,,,1997,11/29/1996,
I14UKSEP2,9/17/2013,u,Cayo Pequ,89A,,R,,Aborted,,,1997,11/29/1996,
I97678,11/29/1996,f,S,48B,,F,,Aborted,,,2007,,
I9789A,11/29/1996,u,R,Unknown,,Cayo Pequ,,Aborted,,,2014,,
4,01/01/1955,f,U,?,,U,,Dead,,,1955,06/01/1956,
5,01/01/1955,m,U,?,,U,,Dead,,,1955,06/01/1956,
6,01/01/1955,m,U,?,,U,,Dead,,,1955,06/01/1956,
8,01/01/1955,m,U,?,,U,,Dead,,,1952,06/01/1956,
9,01/01/1955,m,U,?,,U,,Dead,,,1956,06/01/1956,
00C,12/25/1993,m,F,?,,U,,Dead,,,1944,06/01/1956,
00I,1/16/1998,m,V,?,,U,,Dead,,,1956,07/10/1956,
00J,4/13/1998,f,F,?,,U,,Dead,,,1953,07/10/1956,
00L,02/01/1999,m,S,?,,U,,Dead,,,1956,07/10/1956,
00O,12/01/1999,f,F,?,,U,,Dead,,,1956,01/01/1957,
10,01/01/1955,f,U,?,nB,nB,01/01/1956,Dead,,,1943,01/01/1957,
11,01/01/1951,f,U,E47,,U,,Dead,,,1957,05/01/1957,
12,01/01/1951,f,U,?,nB,nB,01/01/1956,Dead,,,1943,06/01/1957,
13,01/01/1955,m,U,?,,U,,Dead,,,1950,10/07/1957,
14,01/01/1955,m,U,?,,U,,Dead,,,1952,04/12/1957,
15,01/01/1955,f,U,?,,U,,Dead,,,1939,01/01/1958,
16,01/01/1955,m,U,?,,U,,Dead,,,1956,04/06/1958,
17,01/01/1953,m,U,?,,U,,Dead,,,1944,04/06/1958,
18,01/01/1956,f,U,?,,U,,Dead,,,1956,04/11/1958,
19,01/01/1955,m,U,?,,U,,Dead,,,1944,01/01/1959,
01B,6/15/1993,f,F,?,,U,,Dead,,,1944,01/01/1959,
01K,1/28/1999,m,V,?,,U,,Dead,,,1958,01/01/1959,
01N,03/05/2000,f,F,?,,U,,Dead,,,1958,06/01/1959,
01P,3/20/2001,f,F,65,,U,,Dead,,,1958,07/01/1959,
01R,11/06/2001,f,V,?,,U,,Dead,,,1958,09/01/1959,
21,01/01/1955,f,U,11,,U,,Dead,,,1959,02/02/1959,
22,01/01/1954,f,U,48,,U,,Dead,,,1959,03/05/1959,
23,01/01/1956,f,U,?,,U,,Dead,,,1944,04/06/1959,
24,01/01/1955,f,U,190,,U,,Dead,,,1957,05/06/1959,
27,01/01/1955,m,U,?,,U,,Dead,,,1957,10/06/1959,
28,01/01/1955,f,U,?,,U,,Dead,,,1958,12/09/1959,
29,01/01/1955,f,U,?,,U,,Dead,,,1944,09/10/1959,
02A,01/10/1992,f,R,116,nG,nG,12/31/1959,Dead,,,1957,01/01/1960,
02B,2/28/1993,m,F,AW,nC,nC,01/01/1960,Dead,,,1959,04/01/1960,
02K,02/11/1999,f,V,DG,nCC,CC,01/01/1960,Dead,,,1959,04/01/1960,
02R,11/14/2001,m,V,94,,C,,Dead,,,1960,05/01/1960,
02T,01/01/2003,f,R,35,nC,nC,01/01/1960,Dead,,,1959,09/01/1960,
30,01/01/1955,f,U,90,,A,,Dead,,,1960,03/02/1960,
31,01/01/1955,f,U,104,,C,,Dead,,,1960,04/02/1960,
32,01/01/1955,m,U,?,nC,nC,01/01/1960,Dead,,,1944,09/05/1960,
33,01/01/1953,f,U,CD,,C,,Dead,,,1960,03/08/1960,
34,01/01/1951,f,U,115,nE,nE,01/01/1960,Dead,,,1959,03/09/1960,
35,01/01/1955,f,U,131,nE,nE,01/01/1960,Dead,,,1959,03/09/1960,
